Date,Open,High,Low,Close,Adj Close,Volume
2022-11-30,153.839996,157.589996,151.479996,157.589996,155.293243,3914700
2022-12-01,157.720001,158.869995,154.750000,157.500000,155.204544,2670300
2022-12-02,155.220001,157.279999,155.000000,156.750000,154.465485,2285400
2022-12-05,155.960007,159.449997,155.550003,156.080002,153.805237,3013100
2022-12-06,155.750000,158.339996,153.320007,154.699997,152.445358,3285100
2022-12-07,154.559998,156.990005,154.309998,154.770004,152.514343,2879800
2022-12-08,155.889999,156.419998,153.449997,154.119995,151.873810,1632400
2022-12-09,153.990005,155.139999,152.619995,153.899994,151.657013,1761200
2022-12-12,154.259995,157.759995,154.000000,157.309998,155.017319,2773900
2022-12-13,160.619995,161.550003,156.160004,157.520004,155.224243,3110500
2022-12-14,157.570007,158.619995,153.839996,154.110001,151.863937,3556200
2022-12-15,151.649994,152.279999,146.470001,150.220001,148.030655,4282200
2022-12-16,148.589996,148.589996,144.149994,146.300003,144.167786,4510600
2022-12-19,146.039993,146.740005,143.660004,145.009995,142.896561,2546000
2022-12-20,144.990005,146.500000,144.250000,145.699997,143.576523,1607800
2022-12-21,147.059998,147.779999,146.369995,147.100006,144.956131,2107100
2022-12-22,146.050003,146.699997,142.720001,145.309998,143.192184,2901100
2022-12-23,145.229996,147.139999,144.520004,147.020004,144.877274,1671800
2022-12-27,147.289993,147.860001,145.669998,146.389999,144.256470,1858500
2022-12-28,146.210007,146.820007,143.940002,144.009995,141.911163,1490200
2022-12-29,145.080002,147.619995,144.399994,147.320007,145.172913,1758500
2022-12-30,146.009995,147.929993,145.729996,147.750000,145.596649,2247200
2023-01-03,149.539993,150.449997,145.729996,147.119995,144.975830,2762200
2023-01-04,148.559998,151.960007,148.559998,150.539993,148.345993,2620400
2023-01-05,147.160004,148.720001,146.020004,146.429993,144.796036,2505700
2023-01-06,147.740005,150.429993,145.479996,150.169998,148.494293,3077400
2023-01-09,151.350006,152.449997,150.100006,150.399994,148.721725,3219400
2023-01-10,150.509995,152.179993,149.279999,152.000000,150.303894,2198400
2023-01-11,152.300003,154.110001,152.270004,153.919998,152.202454,3113600
2023-01-12,154.759995,155.750000,152.399994,154.919998,153.191299,3322400
2023-01-13,153.240005,156.250000,152.300003,155.759995,154.021912,2391300
2023-01-17,155.539993,156.100006,153.369995,153.750000,152.034348,3073400
2023-01-18,154.490005,154.759995,150.320007,150.419998,148.741516,2762400
2023-01-19,146.610001,148.000000,144.199997,146.850006,145.211349,3852300
2023-01-20,147.960007,151.779999,147.720001,151.600006,149.908356,3954800
2023-01-23,152.000000,155.059998,151.550003,154.000000,152.281570,3608700
2023-01-24,152.919998,156.669998,152.660004,155.330002,153.596725,2348500
2023-01-25,153.490005,157.059998,153.369995,156.770004,155.020660,2916500
2023-01-26,157.649994,158.229996,154.289993,155.880005,154.140594,3640300
2023-01-27,166.800003,175.539993,165.500000,172.309998,170.387253,13997300
2023-01-30,174.789993,177.860001,172.509995,172.660004,170.733353,10240700
2023-01-31,172.910004,175.309998,171.899994,174.929993,172.978012,5170900
2023-02-01,173.380005,175.119995,171.929993,173.610001,171.672729,3725200
2023-02-02,174.160004,175.220001,171.080002,173.130005,171.198090,6895500
2023-02-03,171.559998,180.399994,171.210007,178.860001,176.864166,5305100
2023-02-06,176.740005,177.750000,175.690002,176.479996,174.510712,3397800
2023-02-07,175.050003,179.029999,174.750000,178.699997,176.705933,3526300
2023-02-08,179.750000,180.100006,177.880005,179.000000,177.002609,2926500
2023-02-09,179.149994,182.080002,178.479996,179.369995,177.368454,3557900
2023-02-10,178.570007,179.729996,176.490005,179.250000,177.249802,2586200
2023-02-13,179.240005,181.380005,178.279999,181.330002,179.306610,3102400
2023-02-14,180.309998,182.149994,178.789993,181.020004,179.000061,2325900
2023-02-15,178.919998,180.740005,178.500000,180.669998,178.653976,1501200
2023-02-16,179.479996,179.880005,177.679993,177.940002,175.954422,1899100
2023-02-17,176.050003,177.610001,174.660004,177.300003,175.321564,2355300
2023-02-21,175.119995,176.500000,173.320007,173.479996,171.544189,2713300
2023-02-22,173.559998,176.020004,172.929993,174.699997,172.750580,2468800
2023-02-23,175.240005,176.600006,172.860001,175.139999,173.185654,2575300
2023-02-24,173.690002,174.940002,172.190002,174.250000,172.305603,1667400
2023-02-27,175.529999,175.690002,173.080002,173.300003,171.366196,1909000
2023-02-28,174.009995,175.339996,173.580002,173.990005,172.048508,2301400
2023-03-01,173.509995,177.199997,173.009995,175.910004,173.947083,2566500
2023-03-02,174.039993,175.830002,172.660004,175.339996,173.383438,1795000
2023-03-03,176.009995,179.389999,175.229996,179.089996,177.091599,2875600
2023-03-06,178.559998,180.520004,178.460007,179.059998,177.061920,2730700
2023-03-07,178.669998,178.899994,175.080002,175.320007,173.363663,2906400
2023-03-08,175.830002,176.220001,173.570007,174.830002,172.879120,2101400
2023-03-09,179.600006,180.270004,171.960007,172.119995,170.199371,4349400
2023-03-10,170.830002,170.830002,164.839996,165.699997,163.851013,5104300
2023-03-13,161.490005,161.990005,157.419998,157.630005,155.871078,6123200
2023-03-14,161.500000,164.320007,160.880005,163.910004,162.080994,5284000
2023-03-15,157.910004,159.960007,155.929993,159.809998,158.026718,6100800
2023-03-16,158.059998,161.919998,156.100006,160.729996,158.936462,4737300
2023-03-17,158.220001,158.649994,154.899994,156.520004,154.773438,7447200
2023-03-20,158.369995,160.690002,157.570007,158.740005,156.968674,3054300
2023-03-21,162.940002,164.570007,161.699997,164.559998,162.723724,3986800
2023-03-22,164.630005,166.770004,162.500000,162.750000,160.933929,4367300
2023-03-23,162.669998,166.240005,160.820007,162.759995,160.943817,3727500
2023-03-24,160.520004,160.710007,157.820007,159.779999,157.997070,2588700
2023-03-27,163.949997,164.470001,161.830002,163.119995,161.299805,3984300
2023-03-28,162.210007,162.589996,158.190002,159.210007,157.433456,4883700
