Date,Open,High,Low,Close,Adj Close,Volume
12/31/2013,184.070007,184.690002,183.929993,184.690002,155.317368,86119900
1/2/2014,183.979996,184.070007,182.479996,182.919998,153.828857,119636900
1/3/2014,183.229996,183.600006,182.630005,182.889999,153.803589,81390600
1/6/2014,183.490005,183.559998,182.080002,182.360001,153.35791,108028200
1/7/2014,183.089996,183.789993,182.949997,183.479996,154.299774,86144200
1/8/2014,183.449997,183.830002,182.889999,183.520004,154.33342,96582300
1/9/2014,184.110001,184.130005,182.800003,183.639999,154.434311,90683400
1/10/2014,183.949997,184.220001,183.009995,184.139999,154.854813,102026400
1/13/2014,183.669998,184.179993,181.339996,181.690002,152.794449,149892000
1/14/2014,182.289993,183.770004,181.949997,183.669998,154.459564,105016100
1/15/2014,184.100006,184.940002,183.710007,184.660004,155.29213,98525800
1/16/2014,184.279999,184.660004,183.830002,184.419998,155.090286,72290600
1/17/2014,184.100006,184.449997,183.320007,183.639999,154.434311,107848700
1/21/2014,184.699997,184.770004,183.050003,184.179993,154.888428,88621200
1/22/2014,184.490005,184.570007,183.910004,184.300003,154.989319,61270900
1/23/2014,183.369995,183.399994,181.820007,182.789993,153.719482,132496900
1/24/2014,181.600006,181.660004,178.830002,178.889999,150.439789,208677100
1/27/2014,179.059998,179.520004,177.119995,178.009995,149.699692,180843100
1/28/2014,178.139999,179.300003,178.119995,179.070007,150.591141,110463200
1/29/2014,177.580002,178.550003,176.880005,177.350006,149.14473,216597300
1/30/2014,178.830002,179.809998,178.259995,179.229996,150.725647,118938100
1/31/2014,177.009995,179.289993,176.919998,178.179993,149.842636,194677900
2/3/2014,177.970001,178.369995,173.830002,174.169998,146.470444,254837100
2/4/2014,174.949997,175.839996,174.110001,175.389999,147.496353,165012400
2/5/2014,174.779999,175.559998,173.710007,175.169998,147.311386,164230500
2/6/2014,175.580002,177.479996,175.220001,177.479996,149.253967,132877600
2/7/2014,178.309998,179.869995,177.729996,179.679993,151.104095,170787200
2/10/2014,179.699997,180.070007,179.210007,180.009995,151.381561,92218800
2/11/2014,180.160004,182.440002,180.039993,181.979996,153.038361,117814100
2/12/2014,182.25,182.830002,181.710007,182.070007,153.114044,94717700
2/13/2014,180.839996,183.199997,180.830002,183.009995,153.90451,100542200
2/14/2014,182.839996,184.360001,182.669998,184.020004,154.753922,96498400
2/18/2014,184.179993,184.490005,183.649994,184.240005,154.938934,80460900
2/19/2014,183.759995,184.949997,182.869995,183.020004,153.912964,126524300
2/20/2014,183.270004,184.520004,182.600006,184.100006,154.821152,104998100
2/21/2014,184.449997,184.889999,183.800003,183.889999,154.644577,118116400
2/24/2014,184.279999,186.149994,184.199997,184.910004,155.50235,114063900
2/25/2014,185.059998,185.589996,184.229996,184.839996,155.443451,117085000
2/26/2014,185.110001,185.600006,184.330002,184.850006,155.451904,98677200
2/27/2014,184.580002,185.869995,184.369995,185.820007,156.267593,93880800
2/28/2014,185.789993,187.149994,185.050003,186.289993,156.662857,150842000
3/3/2014,184.649994,185.449997,183.75,184.979996,155.561203,167748500
3/4/2014,186.789993,187.979996,186.75,187.580002,157.747742,167545900
3/5/2014,187.740005,188.070007,187.449997,187.75,157.890701,88376900
3/6/2014,188.210007,188.610001,187.779999,188.179993,158.252258,82516500
3/7/2014,188.960007,188.960007,187.429993,188.259995,158.319565,114513500
3/10/2014,187.970001,188.229996,187.080002,188.160004,158.235474,74939200
3/11/2014,188.440002,188.710007,186.800003,187.229996,157.453354,99009100
3/12/2014,186.320007,187.350006,185.899994,187.279999,157.495422,104824400
3/13/2014,187.839996,187.990005,184.660004,185.179993,155.729401,155014300
